city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Valencia,CAMI FONDO,CAMINS AL GRAU,39.46548,-0.35487,Private room,Private room in rental unit,2,1.5,3.0,3.0,139.0,69.5,True,3,365,360,1,4.0,5.0,0.04,False,False,2,2012-05-19,2023-06-04,2023-06-04
Valencia,EXPOSICIO,EL PLA DEL REAL,39.47639,-0.36467,Private room,Private room in rental unit,1,1.0,1.0,1.0,37.0,37.0,False,2,60,51,430,4.76,4.91,2.69,True,False,3,2010-06-08,2012-08-06,2025-09-07
Valencia,TRINITAT,LA SAIDIA,39.48482805490139,-0.3685763429131575,Private room,Private room in rental unit,1,1.5,1.0,1.0,44.0,44.0,False,10,30,50,203,4.92,4.91,1.47,True,False,2,2012-06-25,2014-06-03,2025-09-13
Valencia,EL PILAR,CIUTAT VELLA,39.47227,-0.38272,Entire home/apt,Entire loft,3,1.0,1.0,1.0,70.0,23.33,True,2,365,266,489,4.64,4.85,3.33,False,True,1,2012-07-06,2013-09-05,2025-09-21
Valencia,SANT PAU,CAMPANAR,39.47451,-0.4087,Entire home/apt,Entire condo,3,1.0,1.0,1.0,84.0,28.0,True,2,100,216,465,4.89,4.84,3.05,True,False,1,2012-07-15,2013-03-19,2025-09-18
Valencia,LA SEU,CIUTAT VELLA,39.4787,-0.37599,Entire home/apt,Entire loft,4,1.0,0.0,2.0,168.0,42.0,True,1,365,315,263,4.88,4.98,1.77,True,True,12,2012-08-04,2013-07-07,2025-09-09
Valencia,PENYA-ROJA,CAMINS AL GRAU,39.46358,-0.35514,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,159.0,39.75,True,1,365,226,42,4.95,4.86,0.36,True,True,1,2012-07-29,2016-03-23,2025-08-10
Valencia,EL PILAR,CIUTAT VELLA,39.47409,-0.38381,Entire home/apt,Entire loft,10,2.0,5.0,9.0,400.0,40.0,True,2,10,288,351,4.84,4.79,2.26,True,False,1,2012-08-29,2012-12-18,2025-09-21
Valencia,CIUTAT DE LES ARTS I DE LES CIENCIES,QUATRE CARRERES,39.45875,-0.35764,Private room,Private room in rental unit,2,1.0,1.0,1.0,37.0,18.5,False,2,120,41,430,4.49,4.65,2.83,False,True,1,2012-09-04,2013-03-27,2025-09-16
Valencia,EL MERCAT,CIUTAT VELLA,39.47321,-0.38044,Entire home/apt,Entire loft,2,1.0,1.0,1.0,150.0,75.0,True,2,10,254,935,4.89,4.95,5.91,True,False,1,2012-09-03,2012-09-29,2025-09-07
Valencia,SANT ANTONI,LA SAIDIA,39.48678588867188,-0.375119000673294,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,69.0,34.5,False,5,25,3,73,4.5,4.39,0.48,False,False,4,2010-09-01,2013-03-21,2025-09-09
Valencia,MESTALLA,EL PLA DEL REAL,39.47291,-0.35376,Entire home/apt,Entire rental unit,7,2.0,4.0,6.0,253.0,36.14,True,11,150,338,82,4.79,4.54,0.52,False,False,1,2012-09-09,2012-11-25,2025-07-25
Valencia,RUSSAFA,L'EIXAMPLE,39.46005,-0.37687,Entire home/apt,Entire rental unit,5,1.5,3.0,4.0,122.0,24.4,False,30,350,10,30,4.57,4.97,0.25,False,False,4,2012-09-27,2015-09-21,2025-02-06
Valencia,EL BOTANIC,EXTRAMURS,39.47573,-0.38542,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,67.0,33.5,False,3,300,139,338,4.46,4.86,2.27,False,False,1,2012-09-30,2013-06-25,2025-06-27
Valencia,EL MERCAT,CIUTAT VELLA,39.47305,-0.38039,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,108.0,27.0,True,27,1125,237,165,4.92,4.94,1.22,True,False,2,2011-02-01,2014-08-04,2025-08-23
Valencia,EL MERCAT,CIUTAT VELLA,39.47391,-0.37675,Entire home/apt,Entire loft,2,1.0,1.0,1.0,91.0,45.5,False,3,10,151,374,4.93,4.95,2.44,True,False,6,2012-11-06,2013-02-19,2025-09-21
Valencia,EL MERCAT,CIUTAT VELLA,39.47384,-0.37677,Entire home/apt,Entire loft,2,1.0,1.0,1.0,91.0,45.5,False,3,10,150,366,4.92,4.95,2.43,True,False,6,2012-11-06,2013-05-08,2025-09-15
Valencia,EL MERCAT,CIUTAT VELLA,39.47234,-0.3775,Entire home/apt,Entire loft,4,1.0,1.0,2.0,109.0,27.25,False,2,1125,117,115,4.72,4.95,0.89,True,True,2,2012-05-13,2015-03-06,2025-09-18
Valencia,SANT FRANCESC,CIUTAT VELLA,39.46951,-0.37527,Entire home/apt,Entire condo,4,1.0,2.0,3.0,170.0,42.5,True,3,364,270,382,4.64,4.89,2.49,True,True,9,2013-02-04,2013-02-26,2025-09-22
Valencia,SANT FRANCESC,CIUTAT VELLA,39.46949,-0.37353,Entire home/apt,Entire condo,3,1.0,1.0,2.0,72.0,24.0,False,3,1120,70,440,4.9,4.95,2.87,True,False,1,2012-12-08,2013-02-27,2025-09-11
Valencia,SANT FRANCESC,CIUTAT VELLA,39.46894,-0.37549,Entire home/apt,Entire rental unit,2,0.5,1.0,1.0,80.0,40.0,True,1,60,342,54,4.24,4.8,0.36,False,False,4,2013-01-15,2013-05-08,2025-08-22
Valencia,SANT PAU,CAMPANAR,39.47578,-0.39926,Entire home/apt,Entire loft,2,1.5,1.0,1.0,199.0,99.5,True,2,90,270,151,4.82,4.33,0.99,False,False,1,2013-02-23,2013-03-18,2021-08-04
Valencia,EL CARME,CIUTAT VELLA,39.47753,-0.37966,Entire home/apt,Entire condo,2,1.0,1.0,1.0,93.0,46.5,True,2,10,297,310,4.93,4.95,2.08,False,False,1,2013-01-12,2013-06-28,2025-09-08
Valencia,NATZARET,POBLATS MARITIMS,39.44833,-0.33492,Entire home/apt,Entire rental unit,4,1.5,3.0,3.0,90.0,22.5,False,2,180,60,350,4.64,4.14,2.3,True,False,2,2013-02-18,2013-03-19,2025-09-07
Valencia,EL MERCAT,CIUTAT VELLA,39.47376,-0.37578,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,99.0,33.0,True,4,120,308,50,4.6,5.0,0.34,True,True,3,2013-03-03,2013-10-25,2025-04-11
Valencia,LA ROQUETA,EXTRAMURS,39.46527,-0.3801,Entire home/apt,Entire loft,4,1.5,1.0,2.0,99.0,24.75,True,3,1125,330,879,4.79,4.77,5.76,True,False,1,2011-09-06,2013-03-17,2025-09-12
Valencia,LA ROQUETA,EXTRAMURS,39.46614,-0.38086,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,99.0,49.5,False,2,10,68,189,4.6,4.71,1.3,False,False,1,2013-03-14,2013-10-29,2025-09-17
Valencia,SANT FRANCESC,CIUTAT VELLA,39.47062,-0.37194,Entire home/apt,Entire rental unit,8,2.0,3.0,6.0,151.0,18.88,True,3,10,295,383,4.66,4.95,2.56,True,False,1,2013-03-04,2013-06-20,2025-09-23
Valencia,EL MERCAT,CIUTAT VELLA,39.47344,-0.37836,Entire home/apt,Entire rental unit,3,1.0,2.0,3.0,122.0,40.67,True,5,21,206,493,4.79,4.92,3.29,True,False,2,2012-08-15,2013-06-07,2025-09-20
Valencia,ARRANCAPINS,EXTRAMURS,39.46771240234375,-0.3846670091152191,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,94.0,47.0,True,2,10,329,315,4.82,4.77,2.09,True,False,1,2012-07-08,2013-05-11,2025-09-16
Valencia,SANT PAU,CAMPANAR,39.489837646484375,-0.4043799936771393,Entire home/apt,Entire rental unit,6,2.0,3.0,5.0,145.0,24.17,True,5,30,193,253,4.92,4.78,1.7,True,False,1,2013-05-06,2013-07-08,2025-09-13
Valencia,RUSSAFA,L'EIXAMPLE,39.46085,-0.37638,Private room,Private room in rental unit,2,1.5,1.0,1.0,45.0,22.5,True,10,730,332,271,4.67,4.88,1.81,False,False,2,2013-05-22,2013-06-06,2025-08-16
Valencia,RUSSAFA,L'EIXAMPLE,39.46312,-0.37694,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,123.0,30.75,False,1,10,66,192,4.83,4.85,1.3,True,True,1,2013-04-16,2013-07-25,2025-09-06
Valencia,EL CARME,CIUTAT VELLA,39.48005,-0.38036,Entire home/apt,Entire rental unit,5,1.0,2.0,3.0,110.0,22.0,True,3,365,201,443,4.8,4.82,3.0,False,False,1,2013-06-25,2013-08-08,2025-09-15
Valencia,RUSSAFA,L'EIXAMPLE,39.46139,-0.37657,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,60.0,20.0,False,2,1125,52,199,4.62,4.84,1.35,False,False,1,2013-04-08,2013-08-01,2025-09-09
Valencia,EL CARME,CIUTAT VELLA,39.47938,-0.3816,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,113.0,28.25,False,3,1125,18,358,4.68,4.8,2.51,False,True,1,2013-07-14,2014-01-05,2025-01-01
Valencia,EL CARME,CIUTAT VELLA,39.47835,-0.37718,Private room,Private room in rental unit,1,1.0,1.0,1.0,67.0,67.0,False,2,60,10,33,4.66,4.85,0.22,False,False,1,2013-07-14,2013-08-31,2019-06-10
