city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Madrid,San Diego,Puente de Vallecas,40.3955918,-3.6655239,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,93.0,23.25,True,3,365,327,26,4.85,4.54,3.84,True,False,1,2015-07-12,2025-02-24,2025-07-26
Madrid,Rejas,San Blas - Canillejas,40.442059783400246,-3.582167814301355,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,68.0,22.67,True,1,1125,343,1,5.0,5.0,0.45,False,True,54,2014-12-27,2025-07-11,2025-07-11
Madrid,San Diego,Puente de Vallecas,40.39502908444384,-3.668896673673688,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,520.0,130.0,True,1,1125,287,0,,,,False,True,54,2014-12-27,,
Madrid,San Diego,Puente de Vallecas,40.39342010327168,-3.6678888144124167,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,59.0,14.75,False,1,1125,105,1,1.0,5.0,0.15,False,True,54,2014-12-27,2025-02-27,2025-02-27
Madrid,Embajadores,Centro,40.40932157004346,-3.704486221825447,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,85.0,42.5,True,1,1125,324,0,,,,False,True,54,2014-12-27,,
Madrid,Cuatro Caminos,Tetuán,40.4523393602783,-3.698898391830392,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,81.0,40.5,True,1,1125,321,8,3.63,4.14,3.75,False,True,87,2022-03-18,2025-07-14,2025-09-07
Madrid,Arapiles,Chamberí,40.43393,-3.71046,Entire home/apt,Entire rental unit,5,2.0,2.0,3.0,101.0,20.2,True,1,1125,321,6,4.0,4.67,1.4,False,True,87,2022-03-18,2025-05-09,2025-08-30
Madrid,San Isidro,Carabanchel,40.39662664520277,-3.719460357986545,Private room,Private room in rental unit,1,1.0,1.0,1.0,40.0,40.0,False,2,28,139,35,4.89,4.77,4.63,True,False,1,2013-10-05,2025-01-31,2025-09-01
Madrid,Aluche,Latina,40.39431,-3.7574,Entire home/apt,Entire condo,2,1.0,1.0,1.0,63.0,31.5,False,3,90,64,18,4.94,4.72,3.1,True,False,1,2019-07-03,2025-03-25,2025-08-30
Madrid,Valdeacederas,Tetuán,40.4646,-3.69545,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,87.0,21.75,True,1,90,322,20,4.9,4.7,3.68,True,False,2,2025-01-26,2025-04-06,2025-09-14
Madrid,Sol,Centro,40.41818343892364,-3.70706704547793,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,145.0,36.25,True,5,1125,281,38,4.95,5.0,5.4,False,True,28,2012-11-19,2025-02-17,2025-08-26
Madrid,San Andrés,Villaverde,40.34382551533714,-3.714395720801696,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,57.0,28.5,False,32,179,176,2,4.0,3.0,0.31,False,True,4,2021-06-05,2025-03-06,2025-05-01
Madrid,Casco Histórico de Barajas,Barajas,40.47439,-3.57624,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,161.0,40.25,True,1,365,292,2,5.0,5.0,2.0,True,True,4,2014-05-27,2025-08-25,2025-08-28
Madrid,Embajadores,Centro,40.41,-3.70074,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,89.0,44.5,True,3,365,241,20,4.2,4.3,2.67,False,True,1,2025-01-27,2025-02-03,2025-08-31
Madrid,Recoletos,Salamanca,40.42745,-3.68473,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,195.0,48.75,True,1,365,253,0,,,,False,False,407,2021-12-30,,
Madrid,Trafalgar,Chamberí,40.4376921,-3.7029011,Entire home/apt,Entire rental unit,6,2.0,3.0,3.0,288.0,48.0,True,30,1125,212,0,,,,False,True,249,2021-12-01,,
Madrid,Guindalera,Salamanca,40.43115876718015,-3.668785479376231,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,149.0,49.67,True,1,365,348,16,4.69,4.69,2.2,True,True,65,2015-06-23,2025-02-10,2025-09-03
Madrid,Vallehermoso,Chamberí,40.44614,-3.70519,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,142.0,35.5,True,31,330,197,0,,,,False,True,384,2020-05-15,,
Madrid,Justicia,Centro,40.42153911376963,-3.697615743679244,Entire home/apt,Entire home,5,2.0,3.0,3.0,518.0,103.6,False,3,1125,37,6,4.83,4.67,1.27,False,False,7,2013-03-31,2025-04-27,2025-07-08
Madrid,San Diego,Puente de Vallecas,40.39696020032749,-3.667750908327372,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,100.0,25.0,False,3,365,62,26,4.88,4.58,3.42,True,False,6,2024-11-06,2025-01-30,2025-08-27
Madrid,Casa de Campo,Moncloa - Aravaca,40.42064685170046,-3.720987223542733,Private room,Private room in rental unit,1,0.5,1.0,1.0,126.0,126.0,True,1,365,365,2,5.0,5.0,0.43,False,False,1,2025-01-07,2025-04-27,2025-06-01
Madrid,Sol,Centro,40.41875,-3.70222,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,90.0,30.0,True,1,365,287,51,4.67,4.96,7.02,False,False,3,2019-03-28,2025-02-10,2025-09-07
Madrid,Mirasierra,Fuencarral - El Pardo,40.49543099731381,-3.715722507357191,Private room,Private room in rental unit,1,1.0,1.0,1.0,48.0,48.0,True,3,365,195,1,5.0,5.0,0.3,False,False,2,2019-03-12,2025-06-07,2025-06-07
Madrid,Numancia,Puente de Vallecas,40.39569407677574,-3.659224924417941,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,91.0,22.75,True,4,60,242,20,4.8,4.45,2.78,True,True,1,2019-07-16,2025-02-11,2025-09-08
Madrid,Palacio,Centro,40.416476,-3.708747099999999,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,149.0,49.67,False,7,60,9,4,4.75,5.0,0.61,False,False,1,2014-12-30,2025-03-03,2025-08-14
Madrid,San Diego,Puente de Vallecas,40.39731661284903,-3.668590048441841,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,96.0,24.0,False,3,365,41,34,4.85,4.44,4.68,True,False,6,2024-11-06,2025-02-09,2025-09-11
Madrid,Aluche,Latina,40.39468298429917,-3.74853248003308,Private room,Private room in rental unit,1,1.0,1.0,1.0,28.0,28.0,True,2,365,261,10,4.7,4.5,1.33,False,False,1,2015-10-23,2025-02-02,2025-06-18
Madrid,Almendrales,Usera,40.38626553440725,-3.6995362521082966,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,119.0,39.67,False,20,330,179,2,5.0,4.5,0.41,False,False,107,2021-03-29,2025-04-20,2025-04-30
Madrid,Argüelles,Moncloa - Aravaca,40.42195,-3.71849,Private room,Room in hotel,2,1.0,1.0,1.0,131.0,65.5,True,1,1125,349,17,4.65,4.88,2.56,False,True,15,2024-12-10,2025-02-28,2025-08-24
Madrid,Argüelles,Moncloa - Aravaca,40.42257384063084,-3.718455827773775,Private room,Room in hotel,2,1.0,1.0,1.0,127.0,63.5,True,1,1125,340,0,,,,False,True,15,2024-12-10,,
Madrid,Argüelles,Moncloa - Aravaca,40.42235734811069,-3.7179394802143855,Private room,Room in hotel,2,1.0,1.0,1.0,119.0,59.5,True,1,1125,351,4,4.5,5.0,0.59,False,True,15,2024-12-10,2025-02-25,2025-07-05
Madrid,Almendrales,Usera,40.38667233210894,-3.699803147600982,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,90.0,30.0,False,20,330,158,0,,,,False,False,107,2021-03-29,,
Madrid,Ciudad Jardín,Chamartín,40.44958,-3.66642,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,155.0,38.75,True,30,365,320,6,5.0,5.0,0.85,False,False,62,2014-10-09,2025-02-16,2025-08-31
Madrid,Valdemarín,Moncloa - Aravaca,40.46732,-3.78601,Entire home/apt,Entire rental unit,6,2.0,3.0,7.0,170.0,28.33,False,20,330,54,1,5.0,5.0,0.49,False,False,107,2021-03-29,2025-07-16,2025-07-16
Madrid,Delicias,Arganzuela,40.39937183780485,-3.696073328002806,Entire home/apt,Entire rental unit,3,1.0,2.0,2.0,88.0,29.33,True,1,365,330,3,3.0,3.67,0.47,False,True,2,2023-01-10,2025-03-07,2025-04-23
Madrid,Palomeras Sureste,Puente de Vallecas,40.38633,-3.6404,Private room,Private room in rental unit,1,1.0,1.0,1.0,26.0,26.0,False,2,365,136,1,5.0,5.0,0.16,False,False,1,2017-03-03,2025-03-16,2025-03-16
Madrid,Lista,Salamanca,40.43086729754344,-3.6785279471453634,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,153.0,38.25,False,1,365,102,0,,,,False,False,407,2021-12-30,,
Madrid,Palacio,Centro,40.42313,-3.71069,Entire home/apt,Entire rental unit,10,3.0,4.0,5.0,298.0,29.8,True,1,1125,308,20,4.95,5.0,3.92,True,True,21,2019-10-29,2025-04-16,2025-08-26
Madrid,Cortes,Centro,40.41259,-3.69669,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,214.0,53.5,True,1,1125,332,8,4.38,4.88,1.13,False,True,15,2021-11-09,2025-02-16,2025-06-08
Madrid,Cortes,Centro,40.41325831336862,-3.6970005351355497,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,171.0,85.5,True,1,1125,303,5,4.6,5.0,0.84,False,True,15,2021-11-09,2025-03-22,2025-06-27
Madrid,Aluche,Latina,40.39218,-3.75493,Private room,Private room in rental unit,2,1.0,1.0,1.0,240.0,120.0,True,1,365,256,0,,,,False,False,1,2014-10-29,,
Madrid,Fuente del Berro,Salamanca,40.42523,-3.66106,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,142.0,35.5,True,1,365,234,9,4.89,4.67,1.24,True,True,1,2025-01-28,2025-02-09,2025-06-24
Madrid,Palos de Moguer,Arganzuela,40.405410576778856,-3.6949279539672863,Entire home/apt,Entire rental unit,5,1.0,1.0,5.0,225.0,45.0,True,1,365,343,21,4.43,4.76,2.93,False,True,8,2019-10-22,2025-02-12,2025-08-24
Madrid,Canillas,Hortaleza,40.4607582,-3.6500055,Private room,Private room in rental unit,2,1.0,2.0,2.0,71.0,35.5,False,1,4,30,1,5.0,5.0,0.35,True,False,5,2015-04-27,2025-06-22,2025-06-22
Madrid,Palacio,Centro,40.42307,-3.71087,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,107.0,53.5,False,2,365,89,1,4.0,5.0,1.0,False,True,181,2022-05-22,2025-09-07,2025-09-07
Madrid,Imperial,Arganzuela,40.40414964779941,-3.71295343819842,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,85.0,28.33,False,1,28,17,0,,,,False,True,181,2022-05-22,,
Madrid,Valverde,Fuencarral - El Pardo,40.51267,-3.67747,Entire home/apt,Entire rental unit,4,2.0,2.0,0.0,161.0,40.25,False,4,1125,73,12,4.58,4.42,1.83,False,True,120,2022-02-13,2025-03-02,2025-09-11
Madrid,Embajadores,Centro,40.41238244865971,-3.704468448849244,Entire home/apt,Entire home,6,1.5,1.0,3.0,91.0,15.17,False,1,120,94,36,4.67,4.75,4.93,False,True,2,2025-01-29,2025-02-09,2025-09-14
Madrid,Palacio,Centro,40.41353677977284,-3.708600612475325,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,76.0,38.0,True,1,365,233,36,4.67,4.97,4.86,False,True,3,2019-11-04,2025-02-06,2025-09-11
