city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Sevilla,Triana Oeste,Triana,37.3811918346983,-6.013407360923276,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,95.0,23.75,True,2,365,190,5,4.2,4.8,0.22,False,True,48,2019-08-21,2023-11-11,2025-04-30
Sevilla,San Bartolomé,Casco Antiguo,37.38997,-5.987769999999999,Entire home/apt,Entire rental unit,10,2.0,4.0,5.0,203.0,20.3,False,1,1125,160,20,4.55,4.7,0.8,False,True,13,2023-07-13,2023-09-08,2025-09-10
Sevilla,Triana Casco Antiguo,Triana,37.38153,-5.99958,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,92.0,46.0,False,2,365,106,53,4.77,4.94,2.09,True,True,2,2023-07-14,2023-09-03,2025-08-29
Sevilla,Feria,Casco Antiguo,37.396857,-5.9923855,Entire home/apt,Entire rental unit,6,2.0,3.0,4.0,219.0,36.5,True,1,365,305,19,4.68,4.89,0.86,False,True,41,2017-01-27,2023-12-10,2025-09-02
Sevilla,Feria,Casco Antiguo,37.3962293,-5.9879259,Entire home/apt,Entire rental unit,3,1.0,2.0,2.0,135.0,45.0,False,2,30,65,41,4.95,4.93,1.65,True,False,2,2014-08-27,2023-09-18,2025-09-21
Sevilla,Santa Cruz,Casco Antiguo,37.38847512358238,-5.993955531330954,Entire home/apt,Entire rental unit,7,2.0,3.0,4.0,225.0,32.14,False,2,365,154,97,4.67,4.91,3.71,False,True,28,2014-05-12,2023-08-08,2025-09-07
Sevilla,Triana Casco Antiguo,Triana,37.3849721,-6.0020773,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,237.0,59.25,True,2,60,310,8,4.88,5.0,0.33,False,True,126,2018-01-29,2023-10-12,2025-09-18
Sevilla,Arenal,Casco Antiguo,37.3877789,-5.9960979,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,126.0,42.0,False,1,365,139,55,4.71,4.85,2.1,True,True,62,2018-04-03,2023-08-09,2025-09-16
Sevilla,Triana Casco Antiguo,Triana,37.380174296223885,-5.997525038674939,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,94.0,47.0,False,2,365,98,41,4.68,4.83,1.59,True,True,2,2023-07-14,2023-08-17,2025-08-26
Sevilla,Santa Cruz,Casco Antiguo,37.38875262247623,-5.993280869449791,Entire home/apt,Entire rental unit,2,1.0,0.0,1.0,105.0,52.5,False,3,365,59,24,4.79,5.0,1.3,False,False,9,2012-06-21,2024-03-25,2025-08-01
Sevilla,"Begoña, Santa Catalina",Macarena,37.4072,-5.97468,Private room,Private room in casa particular,2,1.0,1.0,1.0,49.0,24.5,False,2,10,76,33,5.0,4.64,1.31,True,False,3,2016-06-01,2023-09-04,2025-09-21
Sevilla,"Doctor Barraquer, G. Renfe, Policlínico",Macarena,37.40562,-5.98944,Entire home/apt,Entire rental unit,5,1.0,2.0,4.0,139.0,27.8,False,1,365,175,96,4.63,4.59,3.79,False,True,19,2022-07-08,2023-09-02,2025-09-26
Sevilla,Santa Cruz,Casco Antiguo,37.3878118,-5.9930849,Entire home/apt,Entire serviced apartment,2,1.0,1.0,1.0,143.0,71.5,True,1,365,299,57,4.72,4.93,2.37,False,True,5,2017-12-27,2023-10-10,2025-09-16
Sevilla,Santa Cruz,Casco Antiguo,37.3878118,-5.9930849,Entire home/apt,Entire serviced apartment,4,1.0,1.0,2.0,149.0,37.25,True,1,365,281,4,4.25,5.0,0.24,False,True,5,2017-12-27,2024-05-20,2025-04-22
Sevilla,Santa Cruz,Casco Antiguo,37.3878118,-5.9930849,Entire home/apt,Entire serviced apartment,4,1.0,1.0,2.0,153.0,38.25,True,1,365,293,10,4.5,5.0,0.43,False,True,5,2017-12-27,2023-11-05,2025-05-11
Sevilla,Santa Cruz,Casco Antiguo,37.3878118,-5.9930849,Entire home/apt,Entire serviced apartment,2,1.0,1.0,1.0,140.0,70.0,True,2,365,274,1,5.0,5.0,0.04,False,True,5,2017-12-27,2023-11-18,2023-11-18
Sevilla,Feria,Casco Antiguo,37.39536617470662,-5.991176851093769,Entire home/apt,Entire rental unit,3,1.5,1.0,2.0,114.0,38.0,True,3,1125,273,67,4.93,4.97,2.71,True,False,1,2015-05-04,2023-09-19,2025-09-26
Sevilla,El Cerro,Cerro - Amate,37.37449,-5.95973,Private room,Private room in rental unit,2,1.0,1.0,1.0,1939.0,969.5,True,1,365,365,0,,,,False,False,1,2023-07-24,,
Sevilla,Triana Este,Triana,37.3790302,-6.0008412,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,105.0,26.25,False,2,365,78,41,4.68,4.9,1.66,False,True,2,2018-02-05,2023-09-23,2025-03-30
Sevilla,San Gil,Casco Antiguo,37.4007187,-5.9871098,Entire home/apt,Entire rental unit,3,1.0,2.0,3.0,322.0,107.33,False,2,365,29,2,2.5,2.5,0.11,False,True,48,2019-08-21,2024-03-31,2025-09-06
Sevilla,no asignado,Este - Alcosa - Torreblanca,37.40861372236965,-5.933544325825388,Entire home/apt,Entire rental unit,2,1.0,0.0,1.0,94.0,47.0,False,3,20,52,15,4.8,4.53,0.59,False,True,4,2023-02-24,2023-08-25,2024-10-27
Sevilla,"Sector Sur, La Palmera, Reina Mercedes",Palmera - Bellavista,37.3666,-5.987769999999999,Private room,Private room in rental unit,2,1.0,1.0,1.0,28.0,14.0,False,2,365,2,46,4.65,4.5,2.17,False,False,10,2023-07-27,2024-01-04,2025-09-17
Sevilla,"Sector Sur, La Palmera, Reina Mercedes",Palmera - Bellavista,37.3666,-5.987769999999999,Private room,Private room in rental unit,2,1.0,1.0,1.0,28.0,14.0,False,2,365,2,47,4.77,4.51,2.22,False,True,10,2023-07-27,2024-01-04,2025-09-17
